Guid,TitleName
9932f28d-399c-4501-b59b-0a8cc6fe6009,"Destiny Digital Guardian Edition"
212b4dcb-549a-452b-9fe8-51748c1f7e07,"Destiny"
582e7bcc-11bc-4702-ab1b-b31566f8e327,"Minecraft: Xbox One Edition"
37c898af-1d5f-4f38-a9e8-c7d669ff7abc,"Dance Central Spotlight"
c4033ac9-2b2f-4411-b396-02b799973ffa,"WARRIORS OROCHI 3 Ultimate"
858b4e77-ffa8-474a-8743-04f6f6e736c8,"Warframe®"
40a9d289-5852-4107-8b59-14d255b315a3,"Stick it To The Man"
5c660145-aca6-4eb9-9131-cdfb684d8016,"Metro: Last Light Redux"
0767ea45-fabe-4f9c-8169-515713bdc97b,"Metro 2033 Redux"
c4afae36-c3b5-4736-97d9-58e9b9de930c,"Madden NFL 15"
db00744e-d1f4-48c6-a263-9127851f2ad1,"Metro Redux Bundle"
a6e22d34-3ccc-4356-9e47-34fa1f074545,"Fibbage: The Hilarious Bluffing Party Game"
bb8cc529-ec3b-46b2-9393-93c6bc056022,"The Golf Club"
998bb45d-6a74-4587-8c40-fee36e3fefc8,"Diablo III: Reaper of Souls – Ultimate Evil Edition"
0a8f5900-3b9f-4346-ad03-eccbeaa8355a,"Pinball FX2"
eef1dcf7-35b6-4e36-850d-0f19b3289da2,"Sniper Elite 3"
3f8ed5c9-36af-4ffb-9f4d-dcf0c38a9232,"Guacamelee! Super Turbo Championship Edition"
90cd3c08-e2a7-4f60-8ea1-b0c64ac19381,"Zombie Driver Ultimate Edition"
aa3f50ae-5214-47cf-b179-e68b7b999b66,"Contrast"
76a70169-09de-4657-a047-548eeb9ca28d,"Valiant Hearts: The Great War"
b1a1148c-0cd0-4505-9c7b-0f3e0d80808d,"Another World - 20th Anniversary Edition"
64a5dd75-a33f-41cc-b913-84c531c58b0e,"R.B.I. Baseball 14"
a8c76431-541f-40fd-8332-3fa19ab8653e,"Transformers: Rise of the Dark Spark"
e30cee6d-748d-4356-98bb-3471ed257ade,"Outlast"
04df8851-c3e5-40d6-82dc-b0d17d0f93aa,"Sixty Second Shooter Prime"
931f95e6-af78-47e6-8d7b-8c58315e5185,"EA SPORTS™ UFC®"
24e3a29e-9c07-45cc-9a14-49803416c76f,"1001 Spikes"
0c511d47-0908-4642-9037-1385b2ec9438,"Murdered: Soul Suspect"
1f4fb9cd-03f8-4ecf-8b13-6334bcc72d22,"Worms Battlegrounds"
9bab4a04-4ac7-4221-85de-43c89b08c6bd,"WATCH_DOGS™"
988b4862-9b7e-40d8-b720-4984624986a8,"Wolfenstein: The New Order"
90c5260d-0e1b-42f2-a121-c286d0952a5f,"Super Time Force"
a7088307-e3e9-42e5-a6c0-c44ec7303d21,"Nutjitsu"
77d0d59a-34b7-4482-a1c7-c0abbed17de2,"Child of Light"
b0c4e193-1a5c-4530-9933-4400adc3f16b,"The Amazing Spider-Man 2™"
4bf57e2c-173a-4764-bee7-fe93e0613204,"Trials Fusion"
fc400a87-6790-46ff-971d-9a583b3b3056,"Kinect Sports Rivals"
414936e6-3eb9-4ff5-b147-c9ec531891b2,"LEGO® The Hobbit™"
e3a41682-7192-4e25-b974-34e403d2a88d,"Strike Suit Zero: Director's Cut"
01a93174-b0e0-48dd-a9b5-8cecd7b2af68,"METAL GEAR SOLID V: GROUND ZEROES"
8ef9f044-dab7-49f9-9ec6-0aa4c1686efe,"Titanfall"
fb7c3d08-22b0-4f15-aa91-d317d2207230,"Plants vs. Zombies Garden Warfare"
b1b518b3-6d41-4676-9e5a-6c8a69e9b1d6,"Thief"
bffd4299-98d9-4394-b779-0820a0cfd6a7,"Strider"
b1613d47-2330-459a-a99f-4cc84a481db9,"Rayman Legends"
4076210b-23d1-4ec3-b83d-1dd331505402,"The LEGO Movie Videogame"
d0499d7c-8d3f-4863-bdea-a52ab71b7160,"Tomb Raider: Definitive Edition"
a3807603-9e22-48b2-8b75-c6bf36ddc511,"Halo: Spartan Assault"
1d6640d3-3441-42bd-bffd-953d7d09ff5c,"Max: The Curse of Brotherhood"
efd011ea-47b6-4b61-9e86-08063a3e1cfa,"Peggle 2"
4b938ac8-a2cb-4721-bfe6-c2115c98aa7c,"NBA LIVE 14"
f0a5aa79-8546-4d6a-aa8a-7f9c4190d659,"Fighter Within"
ea7c3e92-deab-4669-af2b-2011be996e6a,"Xbox Fitness"
8b4cfd5d-52ff-4ca0-b5e2-112d7fd09830,"Killer Instinct"
9e3bc396-05ad-42c5-b8c3-b045ee378f50,"Call of Duty®: Ghosts"
9bf4c4be-71b2-41c6-bcc2-d61ac057e2f2,"Battlefield 4"
02670f2e-1054-42c2-b16e-2dcf67d2c147,"Ryse: Son of Rome"
0d1608fb-6778-4677-a347-e14eced0a0a6,"Zoo Tycoon"
f04f7029-01ea-4d65-988b-56f583fb7f6c,"FIFA 14"
65b6a1be-ad5d-47f4-8714-bd731dcdb1f0,"Madden NFL 25"
0044aef3-bd7e-4478-8782-6191546dcd9a,"Assassin's Creed IV Black Flag"
f7150fbe-53c4-4d31-94a6-05c29e39d344,"Angry Birds Star Wars"
19ebfc97-9d8d-4cd7-8493-4ec727e8de46,"Powerstar Golf"
