Guid,TitleName
d1f83f36-a0da-4cb2-9a94-b45822d77fb1,Forza Horizon 2
d3788a0e-f039-4762-8094-1befc661799b,The Walking Dead: Season 1 and Season 2 - Bundle
d61fbdfe-c184-4f9d-9c91-158a7b48a8d3,Defense Grid 2
d710072d-8955-417d-bf6e-78e8752ac3fd,Disney Fantasia: Music Evolved – Deluxe Digital Bundle
db00744e-d1f4-48c6-a263-9127851f2ad1,Metro Redux Bundle
dbdbfc77-d488-469e-b2a0-3a2d7a0f8076,The Legend of Korra™
e1af57f3-d527-4c7c-affc-cb300cbfc7f0,LEGO® Batman™ 3: Beyond Gotham Deluxe Edition
e30cee6d-748d-4356-98bb-3471ed257ade,Outlast
e37ae800-9a7d-4b3a-a7bd-c36eee9b0076,CastleStorm - Definitive Edition
e3a41682-7192-4e25-b974-34e403d2a88d,Strike Suit Zero: Director's Cut
e5dc38b6-ed33-4a0d-80be-4089ebf719fd,Geometry Wars™ 3: Dimensions
e95e66ba-98b8-4fce-b79e-587d59e221d3,Halo: The Master Chief Collection Digital
ea7c3e92-deab-4669-af2b-2011be996e6a,Xbox Fitness
ebe58c4a-6257-4e7e-8f11-a329aff07c1a,Tales from the Borderlands
eef1dcf7-35b6-4e36-850d-0f19b3289da2,Sniper Elite 3
efd011ea-47b6-4b61-9e86-08063a3e1cfa,Peggle 2
f0423eee-f580-4106-bac7-9f747bda2773,Just Dance 2014
f04f7029-01ea-4d65-988b-56f583fb7f6c,FIFA 14
f0a5aa79-8546-4d6a-aa8a-7f9c4190d659,Fighter Within
f33009f4-14ff-4821-94e3-c3573c868c2e,Halo: The Master Chief Collection
f4c3f327-5ef1-40a0-a729-e19d194e5d19,Homefront®: The Revolution
f5b8be2c-58f9-427b-8e12-2786d03dc55f,The Wolf Among Us
f7150fbe-53c4-4d31-94a6-05c29e39d344,Angry Birds Star Wars
f8cf5142-4583-48f7-b73d-cc16903d2ff1,Shape Up Gold Edition
f952d7d3-cd26-47e6-aaf3-8114c0b02eb3,Forza Motorsport 5
fa4cd99a-6a3e-4d5f-a37c-5963f7374b94,Never Alone (Kisima Ingitchuna)
fb7c3d08-22b0-4f15-aa91-d317d2207230,Plants vs. Zombies Garden Warfare
fc400a87-6790-46ff-971d-9a583b3b3056,Kinect Sports Rivals
